,,Earners (persons),,,,,,Median age of earners (years),,,,,,Sum ($),,,,,,Median ($),,,,,,Mean ($),,,,,
SA2,SA2 NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
115041301,Pitt Town - McGraths Hill,"5,433 ","5,530 ","5,840 ","6,252 ","6,465 ","6,720 ",42 ,43 ,43 ,43 ,43 ,43 ,"298,631,080 ","315,126,576 ","344,704,418 ","383,059,530 ","410,627,636 ","447,810,208 ","44,686 ","46,366 ","48,408 ","50,076 ","52,038 ","53,896 ","54,966 ","56,985 ","59,025 ","61,270 ","63,515 ","66,638 "
115041302,Rouse Hill - Beaumont Hills,"10,330 ","10,642 ","11,252 ","12,264 ","13,069 ","14,969 ",41 ,42 ,42 ,42 ,42 ,41 ,"661,108,636 ","703,603,615 ","771,976,120 ","857,075,595 ","933,720,903 ","1,085,132,243 ","52,397 ","54,087 ","55,661 ","56,607 ","58,022 ","59,003 ","63,999 ","66,116 ","68,608 ","69,885 ","71,445 ","72,492 "
116011303,Blacktown (East) - Kings Park,"8,113 ","8,231 ","8,477 ","8,878 ","9,267 ","9,354 ",35 ,35 ,35 ,35 ,35 ,35 ,"373,858,789 ","386,475,989 ","409,766,236 ","444,412,221 ","474,980,518 ","489,047,027 ","42,608 ","43,770 ","44,425 ","45,814 ","47,008 ","48,066 ","46,081 ","46,954 ","48,339 ","50,058 ","51,255 ","52,282 "
116011304,Blacktown (North) - Marayong,"8,697 ","8,573 ","8,745 ","9,117 ","9,575 ","9,868 ",39 ,39 ,39 ,38 ,38 ,37 ,"403,939,848 ","412,972,058 ","427,188,892 ","453,647,111 ","490,975,573 ","517,584,679 ","43,056 ","44,823 ","45,492 ","45,946 ","47,612 ","48,356 ","46,446 ","48,171 ","48,850 ","49,758 ","51,277 ","52,451 "
116011306,Doonside - Woodcroft,"10,109 ","10,306 ","10,946 ","11,730 ","12,380 ","12,820 ",40 ,40 ,40 ,39 ,39 ,39 ,"490,490,743 ","526,345,048 ","573,157,353 ","623,444,863 ","681,901,599 ","710,112,988 ","45,294 ","47,717 ","48,996 ","49,909 ","51,344 ","51,565 ","48,520 ","51,072 ","52,362 ","53,150 ","55,081 ","55,391 "
116011307,Lalor Park - Kings Langley,"13,015 ","12,927 ","13,169 ","13,542 ","13,831 ","13,902 ",41 ,41 ,42 ,41 ,41 ,41 ,"677,975,859 ","702,012,978 ","733,558,268 ","759,849,834 ","800,013,819 ","816,891,586 ","46,461 ","48,312 ","48,999 ","49,783 ","51,018 ","52,585 ","52,092 ","54,306 ","55,703 ","56,111 ","57,842 ","58,761 "
116011308,Seven Hills - Toongabbie,"12,187 ","12,403 ","12,576 ","12,879 ","13,478 ","13,990 ",41 ,41 ,40 ,40 ,39 ,39 ,"599,937,382 ","624,699,772 ","653,331,724 ","682,568,926 ","729,350,454 ","771,349,251 ","45,011 ","46,154 ","47,429 ","48,147 ","48,994 ","49,239 ","49,228 ","50,367 ","51,951 ","52,999 ","54,114 ","55,136 "
116011560,Blacktown (South),"5,896 ","6,037 ","6,195 ","6,377 ","6,551 ","6,724 ",40 ,40 ,40 ,39 ,39 ,39 ,"272,170,159 ","290,273,334 ","302,328,397 ","314,127,158 ","331,057,289 ","344,320,841 ","43,252 ","44,275 ","44,731 ","45,529 ","46,901 ","47,294 ","46,162 ","48,082 ","48,802 ","49,259 ","50,535 ","51,208 "
116011561,Blacktown (West),"7,663 ","7,764 ","7,894 ","8,249 ","8,626 ","8,918 ",39 ,39 ,39 ,39 ,38 ,38 ,"354,600,998 ","374,521,912 ","385,542,806 ","411,067,943 ","440,826,968 ","459,453,219 ","43,484 ","44,614 ","45,599 ","46,244 ","47,069 ","47,233 ","46,274 ","48,238 ","48,840 ","49,832 ","51,104 ","51,520 "
116021309,Glenwood,"8,495 ","8,630 ","8,885 ","9,143 ","9,406 ","9,645 ",40 ,41 ,41 ,41 ,41 ,41 ,"499,727,712 ","524,953,885 ","550,432,216 ","584,401,153 ","613,997,619 ","628,555,598 ","51,933 ","53,168 ","53,905 ","54,647 ","56,341 ","55,869 ","58,826 ","60,829 ","61,951 ","63,918 ","65,277 ","65,169 "
116021310,Parklea - Kellyville Ridge,"13,190 ","15,041 ","16,151 ","16,985 ","17,570 ","18,094 ",37 ,37 ,38 ,38 ,39 ,39 ,"826,344,572 ","978,374,861 ","1,081,400,369 ","1,157,782,933 ","1,232,721,896 ","1,285,231,677 ","57,364 ","58,679 ","60,161 ","60,354 ","61,842 ","62,461 ","62,649 ","65,047 ","66,956 ","68,165 ","70,161 ","71,031 "
116021312,Riverstone - Marsden Park,"6,185 ","6,285 ","6,665 ","7,845 ","9,909 ","13,477 ",41 ,41 ,41 ,40 ,38 ,37 ,"303,723,861 ","320,378,301 ","359,648,762 ","445,858,915 ","598,395,727 ","858,591,925 ","43,255 ","44,962 ","46,438 ","49,900 ","53,216 ","56,507 ","49,107 ","50,975 ","53,961 ","56,834 ","60,389 ","63,708 "
116021562,Acacia Gardens,"2,098 ","2,168 ","2,199 ","2,283 ","2,335 ","2,357 ",38 ,38 ,39 ,39 ,39 ,39 ,"119,823,451 ","130,269,453 ","133,464,056 ","142,498,419 ","148,346,998 ","152,446,951 ","52,364 ","55,031 ","56,072 ","57,409 ","58,727 ","58,292 ","57,113 ","60,087 ","60,693 ","62,417 ","63,532 ","64,678 "
116021563,Quakers Hill,"12,606 ","12,682 ","12,873 ","13,282 ","13,466 ","13,739 ",38 ,38 ,39 ,39 ,39 ,39 ,"677,733,518 ","709,080,769 ","734,814,222 ","771,710,317 ","811,179,013 ","836,934,650 ","49,598 ","51,363 ","52,147 ","53,386 ","54,249 ","55,182 ","53,763 ","55,912 ","57,082 ","58,102 ","60,239 ","60,917 "
116031313,Bidwill - Hebersham - Emerton,"6,918 ","6,930 ","7,059 ","7,411 ","7,445 ","7,702 ",39 ,39 ,39 ,38 ,38 ,37 ,"285,154,196 ","295,058,305 ","306,303,473 ","328,809,428 ","349,715,937 ","362,586,615 ","40,357 ","41,244 ","41,800 ","42,863 ","44,222 ","44,608 ","41,219 ","42,577 ","43,392 ","44,368 ","46,973 ","47,077 "
116031314,Glendenning - Dean Park,"4,236 ","4,273 ","4,292 ","4,466 ","4,590 ","4,674 ",37 ,38 ,38 ,38 ,38 ,38 ,"203,236,621 ","213,729,875 ","219,640,675 ","233,695,805 ","245,613,768 ","254,472,963 ","46,733 ","48,108 ","48,869 ","50,279 ","50,848 ","51,194 ","47,978 ","50,019 ","51,174 ","52,328 ","53,511 ","54,444 "
116031315,Hassall Grove - Plumpton,"10,165 ","10,382 ","10,634 ","11,153 ","11,538 ","11,758 ",39 ,40 ,40 ,40 ,39 ,39 ,"497,616,916 ","526,921,001 ","547,035,513 ","581,099,971 ","625,655,876 ","724,944,805 ","46,692 ","48,304 ","49,169 ","49,534 ","51,456 ","51,673 ","48,954 ","50,753 ","51,442 ","52,103 ","54,226 ","61,655 "
116031316,Lethbridge Park - Tregear,"6,233 ","6,625 ","7,185 ","7,947 ","8,701 ","8,963 ",38 ,37 ,37 ,36 ,36 ,35 ,"274,973,747 ","303,536,897 ","339,937,096 ","390,784,058 ","444,527,038 ","465,537,463 ","42,325 ","43,831 ","45,306 ","46,525 ","47,922 ","48,946 ","44,116 ","45,817 ","47,312 ","49,174 ","51,089 ","51,940 "
116031317,Mount Druitt - Whalan,"8,689 ","8,704 ","8,944 ","9,455 ","9,916 ","10,191 ",38 ,38 ,38 ,37 ,37 ,37 ,"368,131,547 ","386,463,420 ","397,479,047 ","427,537,853 ","461,334,264 ","484,390,831 ","40,650 ","41,926 ","42,081 ","42,774 ","43,799 ","44,330 ","42,368 ","44,401 ","44,441 ","45,218 ","46,524 ","47,531 "
116031318,Prospect Reservoir,38 ,57 ,50 ,47 ,55 ,54 ,49 ,47 ,48 ,45 ,41 ,44 ,"2,248,442 ","7,673,259 ","7,013,291 ","6,149,039 ","7,576,363 ","7,420,094 ","41,230 ","65,929 ","70,041 ","53,113 ","52,320 ","64,144 ","59,170 ","134,619 ","140,266 ","130,831 ","137,752 ","137,409 "
116031319,Rooty Hill - Minchinbury,"10,339 ","10,485 ","10,847 ","11,343 ","11,781 ","12,041 ",40 ,40 ,40 ,40 ,39 ,39 ,"505,496,397 ","528,700,862 ","556,986,038 ","596,261,047 ","642,296,018 ","670,345,041 ","45,446 ","46,991 ","47,626 ","49,012 ","51,110 ","51,983 ","48,892 ","50,424 ","51,349 ","52,566 ","54,520 ","55,672 "
117011320,Banksmeadow,44 ,37 ,41 ,45 ,44 ,36 ,39 ,40 ,41 ,41 ,45 ,50 ,"2,400,014 ","2,534,335 ","2,348,724 ","2,517,401 ","2,725,427 ","2,656,439 ","44,069 ","53,017 ","51,170 ","49,680 ","54,957 ","69,996 ","54,546 ","68,496 ","57,286 ","55,942 ","61,942 ","73,790 "
117011321,Botany,"5,077 ","5,169 ","5,500 ","5,984 ","6,426 ","6,744 ",40 ,41 ,41 ,41 ,41 ,41 ,"295,416,152 ","318,823,653 ","352,177,366 ","396,312,884 ","432,648,563 ","468,380,925 ","49,983 ","53,272 ","55,012 ","56,444 ","58,107 ","60,429 ","58,187 ","61,680 ","64,032 ","66,229 ","67,328 ","69,452 "
117011322,Mascot - Eastlakes,"11,013 ","11,614 ","12,317 ","13,355 ","14,562 ","15,762 ",38 ,38 ,38 ,37 ,36 ,35 ,"559,301,098 ","610,787,565 ","668,396,045 ","743,037,793 ","834,494,181 ","905,777,215 ","43,806 ","45,529 ","46,911 ","47,831 ","49,446 ","49,213 ","50,786 ","52,591 ","54,266 ","55,637 ","57,306 ","57,466 "
117011323,Pagewood - Hillsdale - Daceyville,"5,701 ","5,736 ","5,937 ","6,129 ","6,281 ","6,460 ",41 ,41 ,41 ,41 ,41 ,40 ,"300,584,043 ","313,785,356 ","337,153,957 ","351,082,792 ","371,377,891 ","395,175,123 ","42,876 ","44,624 ","46,186 ","47,465 ","48,214 ","50,376 ","52,725 ","54,705 ","56,789 ","57,282 ","59,127 ","61,173 "
117011324,Port Botany Industrial,np,np,np,np,np,10 ,np,np,np,np,np,34 ,np,np,np,np,np,"541,882 ",np,np,np,np,np,"47,192 ",np,np,np,np,np,"54,188 "
117011325,Sydney Airport,np,np,np,np,np,6 ,np,np,np,np,np,33 ,np,np,np,np,np,"408,101 ",np,np,np,np,np,"66,858 ",np,np,np,np,np,"68,017 "
117021326,Marrickville,"13,874 ","14,228 ","14,637 ","15,219 ","15,723 ","16,266 ",38 ,38 ,38 ,38 ,37 ,37 ,"773,274,794 ","831,384,245 ","886,780,126 ","949,989,973 ","1,024,779,115 ","1,100,127,010 ","46,351 ","48,523 ","50,318 ","51,843 ","53,870 ","55,499 ","55,736 ","58,433 ","60,585 ","62,421 ","65,177 ","67,634 "
117021327,Petersham - Stanmore,"11,631 ","11,905 ","12,207 ","12,548 ","12,932 ","13,479 ",37 ,37 ,37 ,37 ,37 ,37 ,"775,774,286 ","820,597,122 ","867,761,155 ","922,686,686 ","978,067,254 ","1,040,584,669 ","52,989 ","54,876 ","57,103 ","58,029 ","58,763 ","60,760 ","66,699 ","68,929 ","71,087 ","73,533 ","75,632 ","77,200 "
117021328,Sydenham - Tempe - St Peters,"4,511 ","4,635 ","4,874 ","4,995 ","5,149 ","5,320 ",38 ,38 ,38 ,38 ,38 ,37 ,"262,906,872 ","274,297,677 ","297,197,512 ","319,670,986 ","344,598,741 ","362,946,369 ","50,555 ","52,012 ","53,507 ","55,708 ","57,662 ","58,301 ","58,281 ","59,180 ","60,976 ","63,998 ","66,925 ","68,223 "
117031329,Darlinghurst,"7,426 ","7,663 ","8,045 ","8,355 ","8,769 ","8,997 ",33 ,33 ,34 ,34 ,34 ,34 ,"592,848,218 ","637,335,761 ","706,129,117 ","756,248,074 ","826,546,363 ","865,846,304 ","52,634 ","57,270 ","57,811 ","59,293 ","60,759 ","62,102 ","79,834 ","83,171 ","87,772 ","90,514 ","94,258 ","96,237 "
117031330,Erskineville - Alexandria,"9,830 ","10,165 ","10,687 ","11,272 ","11,778 ","12,685 ",35 ,35 ,35 ,35 ,35 ,35 ,"717,888,862 ","771,525,484 ","837,455,989 ","907,466,966 ","986,285,665 ","1,105,474,069 ","64,040 ","65,527 ","67,426 ","69,680 ","71,511 ","73,295 ","73,030 ","75,900 ","78,362 ","80,506 ","83,740 ","87,148 "
117031331,Glebe - Forest Lodge,"10,194 ","10,368 ","10,760 ","11,756 ","12,334 ","13,203 ",35 ,35 ,35 ,35 ,35 ,35 ,"750,272,415 ","795,788,037 ","842,103,273 ","935,565,006 ","1,001,645,030 ","1,074,582,567 ","52,410 ","54,613 ","55,997 ","56,691 ","58,302 ","58,412 ","73,599 ","76,754 ","78,262 ","79,582 ","81,210 ","81,389 "
117031332,Newtown - Camperdown - Darlington,"13,364 ","13,713 ","14,237 ","14,707 ","15,228 ","15,924 ",34 ,34 ,34 ,34 ,34 ,34 ,"865,287,815 ","932,022,097 ","989,947,136 ","1,062,328,380 ","1,127,058,177 ","1,204,285,631 ","52,411 ","54,999 ","56,215 ","58,210 ","59,163 ","59,973 ","64,748 ","67,966 ","69,533 ","72,233 ","74,012 ","75,627 "
117031333,Potts Point - Woolloomooloo,"13,498 ","13,897 ","14,149 ","14,634 ","14,840 ","15,323 ",34 ,34 ,34 ,35 ,35 ,35 ,"1,034,009,629 ","1,141,260,564 ","1,211,758,295 ","1,293,998,411 ","1,368,989,344 ","1,471,139,314 ","51,551 ","53,878 ","55,545 ","58,253 ","59,817 ","62,647 ","76,605 ","82,123 ","85,643 ","88,424 ","92,250 ","96,009 "
117031334,Pyrmont - Ultimo,"12,787 ","13,223 ","13,504 ","14,218 ","14,428 ","15,388 ",32 ,32 ,32 ,33 ,33 ,33 ,"878,109,767 ","932,036,825 ","1,000,664,753 ","1,040,330,702 ","1,074,959,892 ","1,099,032,760 ","45,654 ","47,867 ","47,083 ","47,393 ","47,214 ","44,474 ","68,672 ","70,486 ","74,101 ","73,170 ","74,505 ","71,421 "
117031335,Redfern - Chippendale,"10,599 ","11,076 ","11,844 ","12,867 ","13,235 ","14,325 ",32 ,32 ,32 ,32 ,32 ,32 ,"635,026,865 ","677,739,911 ","753,658,787 ","1,092,066,701 ","1,035,963,377 ","1,050,040,208 ","47,692 ","49,067 ","50,006 ","51,347 ","52,849 ","52,931 ","59,914 ","61,190 ","63,632 ","84,873 ","78,275 ","73,301 "
117031336,Surry Hills,"10,926 ","11,136 ","11,429 ","12,172 ","12,239 ","13,047 ",33 ,33 ,33 ,33 ,33 ,33 ,"768,140,609 ","824,167,944 ","882,058,130 ","964,307,257 ","1,025,653,658 ","1,069,301,192 ","52,499 ","56,078 ","57,820 ","58,396 ","60,366 ","58,841 ","70,304 ","74,009 ","77,177 ","79,223 ","83,802 ","81,958 "
117031337,Sydney - Haymarket - The Rocks,"21,028 ","21,630 ","21,044 ","22,763 ","25,053 ","32,846 ",29 ,29 ,30 ,30 ,30 ,29 ,"1,199,474,784 ","1,331,808,997 ","1,431,641,046 ","1,545,362,005 ","1,770,062,923 ","1,898,399,953 ","22,970 ","25,021 ","26,917 ","27,311 ","27,324 ","22,218 ","57,042 ","61,572 ","68,031 ","67,889 ","70,653 ","57,797 "
117031338,Waterloo - Beaconsfield,"12,024 ","13,191 ","14,830 ","17,359 ","19,080 ","21,134 ",33 ,33 ,33 ,32 ,32 ,32 ,"705,281,502 ","806,939,035 ","955,671,397 ","1,152,797,733 ","1,317,847,588 ","1,458,005,692 ","49,172 ","53,134 ","55,441 ","57,055 ","57,960 ","57,882 ","58,656 ","61,173 ","64,442 ","66,409 ","69,070 ","68,989 "
118011339,Bondi - Tamarama - Bronte,"12,149 ","12,583 ","12,747 ","13,131 ","13,469 ","14,184 ",36 ,36 ,36 ,36 ,36 ,36 ,"1,059,767,679 ","1,169,030,930 ","1,303,807,106 ","1,339,826,703 ","1,419,520,389 ","1,537,231,606 ","52,099 ","55,047 ","57,975 ","60,000 ","60,504 ","62,029 ","87,231 ","92,906 ","102,283 ","102,035 ","105,392 ","108,378 "
118011340,Bondi Beach - North Bondi,"13,640 ","14,278 ","14,624 ","15,049 ","15,141 ","16,343 ",34 ,34 ,35 ,35 ,35 ,35 ,"1,062,626,745 ","1,156,869,775 ","1,284,069,025 ","1,356,562,987 ","1,436,314,735 ","1,548,972,498 ","50,013 ","53,630 ","55,750 ","59,384 ","61,185 ","60,709 ","77,905 ","81,025 ","87,806 ","90,143 ","94,863 ","94,779 "
118011341,Bondi Junction - Waverly,"10,520 ","11,148 ","11,329 ","11,703 ","11,894 ","13,167 ",39 ,38 ,38 ,38 ,38 ,37 ,"813,104,557 ","880,622,977 ","940,450,602 ","1,000,179,444 ","1,068,562,872 ","1,194,749,575 ","49,586 ","51,422 ","55,479 ","56,457 ","57,737 ","56,397 ","77,291 ","78,994 ","83,013 ","85,464 ","89,840 ","90,738 "
118011342,Centennial Park,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
118011343,Double Bay - Bellevue Hill,"16,359 ","16,742 ","17,127 ","17,708 ","17,496 ","18,334 ",44 ,44 ,44 ,44 ,45 ,44 ,"2,250,680,265 ","2,452,954,497 ","2,755,034,005 ","2,820,828,884 ","2,853,237,889 ","2,984,397,630 ","65,372 ","67,091 ","69,680 ","72,578 ","74,114 ","75,673 ","137,581 ","146,515 ","160,859 ","159,297 ","163,079 ","162,779 "
118011344,Dover Heights,"6,739 ","6,875 ","7,050 ","7,273 ","7,396 ","7,441 ",43 ,43 ,43 ,43 ,43 ,43 ,"625,179,912 ","665,285,841 ","705,481,320 ","761,688,481 ","792,595,239 ","833,765,422 ","55,542 ","57,586 ","59,680 ","61,041 ","62,710 ","65,220 ","92,770 ","96,769 ","100,068 ","104,728 ","107,165 ","112,050 "
118011345,Paddington - Moore Park,"9,716 ","10,092 ","10,370 ","10,727 ","10,872 ","11,323 ",38 ,38 ,38 ,38 ,38 ,38 ,"1,028,186,890 ","1,109,239,738 ","1,205,106,382 ","1,309,892,424 ","1,389,193,674 ","1,407,592,075 ","62,267 ","64,409 ","66,828 ","71,227 ","72,361 ","72,395 ","105,824 ","109,913 ","116,211 ","122,112 ","127,777 ","124,313 "
118011346,Rose Bay - Vaucluse - Watsons Bay,"7,628 ","7,760 ","7,889 ","8,197 ","7,986 ","8,388 ",47 ,47 ,47 ,48 ,48 ,48 ,"1,166,474,379 ","1,202,525,999 ","1,289,248,451 ","1,306,906,864 ","1,446,191,549 ","1,453,999,575 ","62,671 ","64,759 ","66,447 ","68,973 ","73,170 ","73,987 ","152,920 ","154,965 ","163,424 ","159,437 ","181,091 ","173,343 "
118011347,Woollahra,"4,981 ","5,116 ","5,261 ","5,418 ","5,318 ","5,503 ",45 ,44 ,44 ,44 ,44 ,44 ,"663,949,196 ","659,924,309 ","719,378,548 ","777,737,627 ","795,398,173 ","812,114,877 ","62,157 ","65,275 ","67,594 ","70,707 ","73,377 ","73,180 ","133,296 ","128,992 ","136,738 ","143,547 ","149,567 ","147,577 "
118021348,Coogee - Clovelly,"15,737 ","16,173 ","16,795 ","17,239 ","17,631 ","18,011 ",38 ,38 ,38 ,38 ,38 ,38 ,"1,315,848,588 ","1,405,372,526 ","1,533,630,298 ","1,632,811,183 ","1,740,223,964 ","1,854,697,312 ","58,828 ","60,678 ","62,635 ","65,825 ","67,397 ","68,267 ","83,615 ","86,896 ","91,315 ","94,716 ","98,703 ","102,976 "
118021350,Malabar - La Perouse - Chifley,"11,350 ","11,577 ","12,127 ","12,640 ","12,845 ","13,262 ",44 ,44 ,44 ,44 ,44 ,44 ,"679,409,236 ","725,851,645 ","792,630,823 ","861,597,124 ","908,134,900 ","969,335,528 ","46,326 ","48,349 ","50,417 ","52,678 ","54,093 ","56,095 ","59,860 ","62,698 ","65,361 ","68,164 ","70,699 ","73,091 "
118021564,Kensington (NSW),"6,548 ","6,713 ","6,989 ","7,339 ","7,239 ","7,425 ",35 ,35 ,35 ,35 ,36 ,36 ,"428,823,794 ","454,630,220 ","498,577,921 ","520,425,615 ","535,890,214 ","555,243,267 ","45,942 ","47,587 ","49,671 ","50,113 ","51,574 ","51,510 ","65,489 ","67,724 ","71,338 ","70,912 ","74,028 ","74,780 "
118021565,Kingsford,"7,831 ","7,808 ","7,830 ","8,123 ","8,070 ","8,118 ",37 ,38 ,38 ,38 ,38 ,38 ,"435,119,123 ","455,398,485 ","478,881,436 ","505,349,889 ","518,978,066 ","530,768,185 ","41,150 ","42,885 ","44,040 ","45,863 ","46,409 ","47,715 ","55,564 ","58,325 ","61,160 ","62,212 ","64,310 ","65,382 "
118021566,Maroubra - North,"5,848 ","5,966 ","6,114 ","6,282 ","6,396 ","6,541 ",42 ,42 ,43 ,43 ,43 ,43 ,"441,210,878 ","467,457,927 ","495,163,719 ","535,410,706 ","562,984,401 ","585,416,505 ","52,029 ","54,993 ","55,595 ","57,188 ","58,933 ","59,226 ","75,446 ","78,354 ","80,989 ","85,229 ","88,021 ","89,500 "
118021567,Maroubra - South,"5,932 ","6,011 ","6,056 ","6,388 ","6,559 ","6,708 ",39 ,39 ,40 ,40 ,40 ,39 ,"358,049,369 ","380,903,242 ","397,884,755 ","438,142,060 ","469,008,374 ","493,767,063 ","47,646 ","49,009 ","51,153 ","52,086 ","53,967 ","55,519 ","60,359 ","63,368 ","65,701 ","68,588 ","71,506 ","73,609 "
118021568,Maroubra - West,"5,671 ","5,742 ","5,922 ","6,159 ","6,172 ","6,322 ",39 ,40 ,40 ,40 ,39 ,40 ,"327,529,742 ","344,116,935 ","371,054,581 ","396,837,355 ","407,460,549 ","452,392,864 ","44,286 ","46,399 ","48,938 ","50,049 ","50,489 ","51,632 ","57,755 ","59,930 ","62,657 ","64,432 ","66,018 ","71,559 "
118021569,Randwick - North,"10,471 ","10,841 ","10,979 ","11,339 ","11,395 ","11,637 ",38 ,38 ,37 ,38 ,38 ,38 ,"844,196,920 ","915,441,003 ","960,149,365 ","998,703,932 ","1,063,205,537 ","1,080,454,251 ","57,438 ","59,831 ","61,175 ","63,216 ","66,065 ","65,911 ","80,622 ","84,442 ","87,453 ","88,077 ","93,305 ","92,846 "
118021570,Randwick - South,"7,506 ","7,743 ","8,047 ","8,456 ","8,542 ","8,769 ",38 ,37 ,37 ,37 ,37 ,37 ,"527,496,307 ","561,418,742 ","617,898,683 ","667,198,892 ","690,795,809 ","718,911,230 ","52,507 ","54,983 ","57,760 ","58,849 ","61,047 ","61,182 ","70,277 ","72,507 ","76,786 ","78,902 ","80,870 ","81,983 "
119011354,Bass Hill - Georges Hall,"8,999 ","9,163 ","9,293 ","9,522 ","9,598 ","9,812 ",41 ,42 ,42 ,41 ,41 ,41 ,"414,959,225 ","441,654,869 ","453,340,014 ","479,871,424 ","484,955,317 ","503,691,060 ","39,050 ","40,972 ","40,965 ","42,000 ","42,279 ","42,113 ","46,112 ","48,200 ","48,783 ","50,396 ","50,527 ","51,334 "
119011355,Chullora,52 ,52 ,157 ,349 ,529 ,648 ,46 ,43 ,38 ,36 ,35 ,35 ,"3,293,959 ","3,118,403 ","8,062,219 ","17,790,404 ","30,882,549 ","36,441,626 ","43,033 ","31,887 ","36,581 ","41,625 ","48,043 ","47,885 ","63,345 ","59,969 ","51,352 ","50,975 ","58,379 ","56,237 "
119011356,Condell Park,"4,682 ","4,791 ","4,876 ","5,142 ","5,413 ","5,496 ",40 ,41 ,40 ,40 ,40 ,40 ,"209,400,678 ","222,152,614 ","235,192,387 ","252,340,158 ","273,510,453 ","283,032,835 ","38,138 ","39,736 ","40,705 ","40,953 ","42,220 ","43,327 ","44,725 ","46,369 ","48,235 ","49,074 ","50,528 ","51,498 "
119011357,Greenacre - Mount Lewis,"10,025 ","10,111 ","10,361 ","10,757 ","11,098 ","11,459 ",40 ,40 ,39 ,39 ,39 ,39 ,"420,501,054 ","447,213,526 ","468,839,991 ","499,934,498 ","533,027,741 ","558,178,114 ","34,852 ","36,178 ","36,919 ","38,037 ","38,643 ","39,290 ","41,945 ","44,230 ","45,250 ","46,475 ","48,029 ","48,711 "
119011358,Padstow,"8,745 ","8,832 ","8,908 ","9,289 ","9,566 ","9,847 ",43 ,43 ,44 ,43 ,43 ,43 ,"442,634,425 ","466,156,165 ","484,651,176 ","508,974,767 ","538,609,063 ","557,346,246 ","43,620 ","45,505 ","46,866 ","47,300 ","47,833 ","48,613 ","50,616 ","52,780 ","54,406 ","54,793 ","56,305 ","56,601 "
119011359,Panania - Milperra - Picnic Point,"13,701 ","13,703 ","13,974 ","14,419 ","14,647 ","15,079 ",42 ,43 ,43 ,43 ,43 ,42 ,"753,941,752 ","776,445,669 ","816,711,048 ","855,026,115 ","894,631,753 ","929,183,237 ","46,262 ","47,888 ","49,250 ","50,481 ","51,634 ","51,748 ","55,028 ","56,662 ","58,445 ","59,299 ","61,080 ","61,621 "
119011360,Revesby,"7,812 ","7,922 ","8,176 ","8,520 ","8,708 ","8,977 ",41 ,41 ,42 ,41 ,41 ,41 ,"385,925,312 ","412,914,277 ","435,630,995 ","464,709,397 ","482,669,657 ","504,990,712 ","43,730 ","45,421 ","46,661 ","47,488 ","48,552 ","48,946 ","49,402 ","52,122 ","53,282 ","54,543 ","55,428 ","56,254 "
119011361,Yagoona - Birrong,"8,432 ","8,554 ","8,745 ","9,060 ","9,366 ","9,691 ",41 ,41 ,40 ,40 ,40 ,40 ,"364,493,922 ","384,476,942 ","402,608,183 ","428,571,391 ","446,387,823 ","464,790,317 ","37,890 ","39,063 ","39,990 ","40,040 ","41,187 ","40,829 ","43,227 ","44,947 ","46,039 ","47,304 ","47,660 ","47,961 "
119011571,Bankstown - North,"6,427 ","6,426 ","6,597 ","6,944 ","7,316 ","7,763 ",37 ,37 ,37 ,37 ,37 ,37 ,"276,991,112 ","290,722,975 ","294,804,486 ","311,675,003 ","332,435,655 ","354,753,259 ","36,757 ","38,116 ","38,051 ","38,068 ","38,197 ","38,067 ","43,098 ","45,242 ","44,688 ","44,884 ","45,440 ","45,698 "
119011572,Bankstown - South,"6,414 ","6,402 ","6,573 ","6,951 ","7,070 ","7,515 ",38 ,39 ,39 ,38 ,38 ,37 ,"264,519,484 ","277,521,027 ","289,167,432 ","311,688,968 ","318,103,596 ","342,572,559 ","36,188 ","37,966 ","38,632 ","38,469 ","38,413 ","38,643 ","41,241 ","43,349 ","43,993 ","44,841 ","44,993 ","45,585 "
119021362,Belmore - Belfield,"9,089 ","9,150 ","9,314 ","9,672 ","9,851 ","10,309 ",40 ,40 ,41 ,41 ,40 ,40 ,"403,622,223 ","423,019,823 ","441,012,430 ","473,395,905 ","497,124,728 ","532,638,792 ","37,917 ","39,227 ","40,317 ","41,731 ","43,010 ","43,457 ","44,408 ","46,232 ","47,349 ","48,945 ","50,464 ","51,667 "
119021363,Canterbury (South) - Campsie,"13,746 ","14,012 ","14,638 ","15,427 ","16,273 ","17,211 ",39 ,38 ,38 ,38 ,37 ,36 ,"547,044,732 ","582,373,515 ","625,002,316 ","681,512,881 ","741,526,992 ","802,154,428 ","33,287 ","35,424 ","36,832 ","37,977 ","38,900 ","39,211 ","39,797 ","41,562 ","42,697 ","44,177 ","45,568 ","46,607 "
